"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.515897119106773","0.527040757413825","0.53499398814622","0.5503062234151","0.572680194497385","0.579853984777123","0.58798836858162","0.599432061537235","0.631840743908207","0.636705773162414","0.629051231331844","0.649820735943207","0.668223789715832","0.675271093312017","0.676096409323391","0.688759309715402","0.691423614797106","0.708014457518765","0.724301589968676","0.731947033685709","0.71440665827195","0.727899780486547","0.736201875036654","0.717955861011698","0.731197082796575","0.76107146353695","0.757008158294849","0.754575223230117","0.762485334835559","0.794696475273246","0.777624763332615","0.707053534321676","0.683089701720721",
"Africa Eastern and Southern","AFE","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.193161801342174","0.205680969158713","0.228265089981485","0.236238762731476","0.244461659511645","0.292384978064053","0.286282625313871","0.287807117967257","0.317581221412922","0.347863298871142","0.333640517089275","0.309755021648288","0.296808866028382","0.266375745195531","0.258446514133076","0.251010224031738","0.233191853062598","0.229571365643755","0.246346727934601","0.212640266639474","",
"Africa Western and Central","AFW","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.354368138600047","0.314186199708854","0.260574008428262","0.24524465624014","0.172832461884803","0.183699473290294","0.187467164747748","0.201758385035678","0.161546889842808","0.147431685815986","0.207569732760002","0.190673772279022","0.230685302713007","0.255967430221377","0.29706527625285","0.39306321652213","0.484293741157034","0.51534794954581","0.617028956784397","0.482701496942762","0.544550564556899","0.687772640450927","0.687997044176963","0.662140361606498","0.617007848686616","0.442301241022606","0.257531181775037","0.338047906635995","0.360665101948369","0.318404372257564","0.227863273717159","0.295467897535687","0.430109152566474",
"Albania","ALB","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.292215169102882","0.212799831495993","0.132960453533715","0.215460897033914","0.30909758762866","0.339445031873934","0.338870861550812","0.263967357042699","0.269361475733787","0.297623187432829","0.291786110735119","0.298044986184439","0.305728621135827","0.369202193186075","0.437303450103558","0.455866154682395","0.452774940617584","0.493544093718943","0.531158751810497","0.466800615732301","0.425227618747176","0.434684639322317","0.403530908113971","0.417472938723523","0.406653318692863","0.339037014641054","0.341432046862621","0.354789209893379","0.391729371612548","0.374545449112504","0.379519506147015","0.412202180909934","0.36606801589494",
"Andorra","AND","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.307219632541054","0.299579649589605","0.298196893170052","0.295015098053727","0.288088840008036","0.29319778658249","0.304548046654702","0.29653430307802","0.280643711464983","0.300110267137391","0.327091105704196","0.312369200004771","0.319173718744504","0.325742911089901","0.344196063970282","0.388884236470679","0.422370555600604","0.462802942444558","0.538252523194023","0.453622237671513","0.522319217028673","0.579062865006023","0.59298151118809","0.60267282879377","0.594300100639453","0.595720809199033","0.596256528767376","0.604980798543434","0.637666718641293","0.606418309959932","0.52658677730421","0.573710615407292","0.606945376536776",
"Argentina","ARG","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.60289798190114","0.717220146429231","0.783425659717542","0.731858572982473","0.73623721421431","0.743940340077583","0.730181312413699","0.714473304039453","0.694473012709146","0.672245111990598","0.664171110696196","0.642419923256386","0.258188470111624","0.303722839912325","0.3501103525251","0.376406087379189","0.395454344856432","0.436729242081594","0.517825554379124","0.503663126937782","0.57495647037521","0.66497195531362","0.666077556687089","0.649734868445919","0.626648111712349","0.685845508437129","0.629818100410013","0.619272056940046","0.506358409042725","0.433055673098438","0.408738818735973","0.44686787945929","0.514528397026015",
"Armenia","ARM","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.230201504958932","0.231281733544929","0.2389249168774","0.241532906242002","0.245629947851011","0.251265506362999","0.253498544930618","0.247613439506286","0.263585483938089","0.245208930457237","0.23452540131819","0.231919144394919","0.226286968414729","0.229938197428789","0.258205037946411","0.301159739883793","0.336231574690298","0.415201060586847","0.482746920938591","0.414085066529469","0.428708741307177","0.439327843404336","0.39317571038256","0.390224736222615","0.397158063155172","0.361826530635954","0.335552253474692","0.323110433090035","0.324138602991965","0.323522750755789","0.31943117045684","0.317216066884862","0.370038611966337",
"American Samoa","ASM","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
